ID,Titolo,Generi,Punteggio_Utente,Stato_Utente,Punteggio_Medio,Rank,Popolarita
175296,Bones,"Action, Fantasy, Urban Fantasy",2,dropped,5.83,20424,7210
148617,Book Eater,"Action, Adventure, Fantasy, School",5,dropped,7.08,7981,4172
119533,"Boukensha License wo Hakudatsu sareta Ossan dakedo, Manamusume ga Dekita node Nonbiri Jinsei wo Ouka suru","Action, Adventure, Fantasy",6,on_hold,7.07,8083,2424
115194,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,"Action, Adventure, Fantasy",6,on_hold,7.36,4260,1874
130977,Build King,"Action, Adventure, Fantasy, Shounen",2,completed,4.87,20829,6905
23419,Byousoku 5 Centimeter,"Drama, Romance, Seinen",6,completed,7.9,1023,577
103444,Candy & Cigarettes,"Action, Seinen",5,completed,7.35,4405,1163
116778,Chainsaw Man,"Action, Award Winning, Fantasy, Gore, Shounen, Urban Fantasy",8,on_hold,8.69,62,3
104271,Chi no Wadachi,"Drama, Psychological, Seinen, Suspense",0,plan_to_read,8.01,754,113
76813,Chichi to Ko,"Childcare, Comedy, Shounen, Slice of Life",0,plan_to_read,7.69,1833,5996
148428,Child of the Sheath,"Action, Adventure, Fantasy",5,dropped,7.65,2061,8209
131403,Choujin X,"Action, Seinen, Supernatural",0,plan_to_read,7.47,3271,297
174692,Chronicles of a Doomed Prodigy,"Action, Adventure, Fantasy, Martial Arts",5,reading,7.51,2997,11417
157591,Chronicles of the Demon Faction,"Action, Fantasy, Martial Arts, Reincarnation",4,dropped,7.47,3296,4072
177080,Chronicles of the Reincarnated Demon God,"Action, Fantasy, Martial Arts, Reincarnation",5,dropped,6.78,12852,12014
583,Claymore,"Action, Adventure, Fantasy, Gore, Horror, Shounen",0,plan_to_read,8.28,339,35
36595,Cocoon,"Drama, Historical, Josei",6,completed,7.41,3848,4696
5651,Crows,"Action, Delinquents, School, Shounen",0,plan_to_read,8.22,416,677
127084,Cuprum no Hanayome,"Comedy, Romance, Seinen",4,dropped,7.43,3597,3085
24,D.Gray-man,"Action, Adventure, Fantasy, Shounen, Urban Fantasy",0,plan_to_read,8.28,336,72
118858,Dai Dark,"Comedy, Horror, Sci-Fi, Shounen",9,on_hold,7.83,1253,430
158565,Damedol to Sekai ni Hitori dake no Fan,"Comedy, Idols (Female), Romance",4,dropped,7.51,2948,1790
135496,Dandadan,"Action, Comedy, Shounen, Supernatural",8,on_hold,8.45,188,51
130755,Darwin Jihen,"Award Winning, Sci-Fi, Seinen",0,plan_to_read,7.33,4620,4761
70801,Dead Dead Demons Dededede Destruction,"Award Winning, Drama, School, Sci-Fi, Seinen",6,completed,8.2,455,200
110301,Dead Mount Death Play,"Action, Fantasy, Reincarnation, Seinen, Urban Fantasy",3,dropped,7.53,2849,1151
21,Death Note,"Psychological, Shounen, Supernatural, Suspense",7,completed,8.69,63,14
149465,Demon Devourer,"Action, Fantasy",5,dropped,7.22,5907,2307
147847,Descended from Divinity,"Action, Fantasy, Reincarnation",4,dropped,7.79,1397,1923
148070,Descent of the Demon Master,"Action, Fantasy, Martial Arts, Reincarnation",6,on_hold,6.61,15364,3530
150998,Designated Bully,"Action, Delinquents, School",3,dropped,7.25,5550,3086
1474,Devilman,"Action, Adventure, Drama, Fantasy, Horror, Mythology, Psychological, Sci-Fi, Shounen, Super Power, Supernatural",5,completed,8.03,723,300
148456,Disciple of the Holy Sword,"Action, Adventure, Fantasy",5,on_hold,7.14,7051,2956
82947,Distant Sky,"Action, Drama, Horror, Mystery, Survival",7,completed,7.74,1612,2463
111767,Do Chokkyuu Kareshi x Kanojo,"Comedy, Romance, School, Shounen",3,dropped,7.5,3036,561
151060,"Doctor, Live Again","Action, Fantasy, Isekai, Martial Arts, Medical, Reincarnation",6,on_hold,7.26,5410,3121
147172,Doom Breaker,"Action, Fantasy, Time Travel",6,on_hold,7.94,916,673
1133,Dorohedoro,"Action, Comedy, Fantasy, Gore, Horror, Seinen",10,completed,8.68,65,46
156024,"Doumo, Yuusha no Chichi desu. Kono Tabi wa Gusoku ga Gomeiwaku wo Kakete, Moushiwake Arimasen.","Action, Adventure, Comedy, Fantasy",3,completed,5.69,20581,13518
40345,Dr. Frost,"Drama, Medical, Psychological",4,dropped,7.96,845,1649
103897,Dr. Stone,"Adventure, Award Winning, Sci-Fi, Shounen, Survival, Suspense",0,plan_to_read,8.2,452,39
146618,Drawing: Saikyou Mangaka wa Oekaki Skill de Isekai Musou suru!,"Adventure, Fantasy, Isekai, Reincarnation",2,dropped,6.67,14523,3781
85781,Dungeon Meshi,"Award Winning, Comedy, Fantasy, Gourmet, Seinen",0,plan_to_read,8.77,45,155
152405,Dungeon Odyssey,"Action, Fantasy",4,dropped,7.77,1488,2136
147438,Dungeon Reset,"Action, Adventure, Fantasy",5,dropped,6.93,10344,1907
147171,Eleceed,"Action, Super Power",7,reading,8.53,131,564
10970,Emerging,"Drama, Gore, Horror, Medical, Psychological, Seinen",4,completed,6.69,14155,1885
150204,Ending Maker,"Action, Fantasy, Isekai, Romance",6,on_hold,7.82,1285,2796
43,Eyeshield 21,"Shounen, Sports, Team Sports",0,plan_to_read,8.46,177,209
43913,Feng Shen Ji,"Action, Fantasy, Historical, Martial Arts, Supernatural",8,completed,8.15,513,698
147463,FFF-Class Trashero,"Action, Adventure, Fantasy, Isekai, Time Travel",3,dropped,7.19,6302,1472
118805,Fight Class 3,"Action, Martial Arts, School",5,dropped,7.68,1880,4044
98270,Fire Punch,"Action, Gore, Mystery, Shounen, Supernatural",4,dropped,7.92,953,41
150088,Fist Demon of Mount Hua,"Action, Adventure, Fantasy, Martial Arts",4,dropped,7.03,8715,8211
25,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy, Military, Shounen",0,plan_to_read,9.04,9,20
102343,Fumetsu no Anata e,"Adventure, Award Winning, Drama, Shounen, Supernatural",8,on_hold,8.28,350,136
112694,Fushigi Neko no Kyuu-chan,"Comedy, Pets, Slice of Life",6,completed,8.18,474,2466
103694,Gal Gohan,"Comedy, Gourmet, Love Status Quo, Romance, School, Seinen",3,dropped,7.43,3657,416
24903,Gangsta.,"Action, Adult Cast, Drama, Organized Crime, Seinen",0,plan_to_read,8.05,682,233
564,Gantz,"Action, Drama, Gore, Horror, Psychological, Sci-Fi, Seinen, Supernatural, Survival",4,dropped,8.09,622,30
15010,Gekiryuuchi,"Action, Drama, Martial Arts, Psychological, School, Seinen",5,completed,6.72,13770,2488
146875,Get Schooled,"Drama, School",6,on_hold,7.59,2406,2006
110727,Gigant,"Drama, Romance, Sci-Fi, Seinen",2,completed,5.95,20232,782
124145,Gilgamesh,"Action, Adventure, Fantasy",7,completed,7.76,1527,7407
25096,Gin no Saji,"Award Winning, Comedy, Drama, School, Shounen",5,dropped,8.33,288,421
44,Gintama,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",0,plan_to_read,8.64,78,153
98720,Goblin Slayer,"Action, Fantasy, Seinen",5,dropped,7.71,1762,180
106247,Goblin wa Mou Juubun ni Tsuyoi,"Comedy, Fantasy, Shounen",4,completed,6.68,14407,4294
147532,God of Blackfield,"Action, Reincarnation, School",6,on_hold,7.06,8249,2587
1092,Gokusen,"Action, Comedy, Delinquents, Josei, Organized Crime, Romance, School, Slice of Life, Workplace",3,dropped,8.05,668,1052
112922,Gokushufudou,"Adult Cast, Comedy, Organized Crime",7,reading,8.1,595,102
85968,Golden Kamuy,"Action, Adventure, Award Winning, Historical, Seinen",6,dropped,8.63,84,146
1470,Gon,"Action, Adventure, Award Winning, Drama, Seinen",7,completed,7.26,5477,1278
147530,Gosu,"Action, Adventure, Historical, Martial Arts",7,completed,7.91,997,2749
70345,Grand Blue,"Comedy, Seinen",4,plan_to_read,9.03,11,48
11425,Grappler Baki,"Action, Gore, Martial Arts, Shounen",7,reading,7.72,1697,674
107909,Grashros,"Action, Seinen",4,completed,6.07,19945,2384
36099,Green Blood,"Action, Historical, Psychological, Seinen, Suspense",0,plan_to_read,7.58,2498,503
336,GTO,"Action, Award Winning, Comedy, Delinquents, Drama, Ecchi, School, Shounen, Workplace",3,dropped,8.87,26,55
128783,Gyakusatsu Happy End,"Horror, Mystery, Psychological, Supernatural, Suspense",0,plan_to_read,7.15,6872,1737
87637,Hai to Gensou no Grimgar,"Action, Adventure, Drama, Fantasy, Isekai, Shounen",5,completed,7.2,6206,2694
35243,Haikyuu!!,"Award Winning, School, Shounen, Sports, Team Sports",7,completed,8.86,27,33
7,Hajime no Ippo,"Award Winning, Combat Sports, Shounen, Sports",0,plan_to_read,8.74,50,163
146944,Hardcore Leveling Warrior,"Action, Adventure, Fantasy, Video Game",0,plan_to_read,7.67,1934,2586
147572,Heavenly Demon Reborn!,"Action, Fantasy, Martial Arts, Reincarnation",6,completed,7.59,2407,2593
162325,Heavenly Grand Archive's Young Master,"Action, Fantasy, Martial Arts",5,on_hold,7.23,5848,6512
151667,Hectopascal,Action,4,dropped,7.13,7159,6155
77637,Helck,"Action, Fantasy",8,completed,8.14,540,435
61583,Hellper,"Action, Fantasy, Supernatural",8,completed,7.93,929,1458
267,Hellsing,"Action, Adult Cast, Gore, Historical, Horror, Seinen, Supernatural, Vampire",0,plan_to_read,8.28,338,148
151242,Helmut,"Action, Fantasy",3,dropped,7.21,6141,2661
176511,"Henkyou Mob Kizoku no Uchi ni Totsuidekita Akuyaku Reijou ga, Mechakucha Dekiru Ii Yome Nanda ga?","Fantasy, Isekai, Reincarnation, Romance",4,dropped,7.01,9125,8843
147290,Hero Killer,"Action, Super Power",6,dropped,7.63,2196,2155
1325,Hi no Tori (1967),"Drama, Fantasy, Historical, Psychological, Romance, Sci-Fi, Shounen, Space, Supernatural",7,completed,8.54,127,791
35719,Hibi Chouchou,"Romance, School, Shoujo",4,dropped,7.52,2911,218
116766,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Drama, Romance, Shounen",2,dropped,7.2,6155,386
12200,High School Musical,"Comedy, Romance, School, Shoujo",3,completed,2.45,20850,7849
36413,Hinamatsuri,"Childcare, Comedy, Organized Crime, Seinen, Supernatural",9,completed,8.46,181,308
137303,Hirayasumi,"Seinen, Slice of Life",8,reading,8.52,142,988
143305,Hiroware Koneko to Moto Yakuza,"Comedy, Pets",5,completed,7.18,6477,11474
148050,His Majesty's Secret Heroine,"Action, Adventure, Crossdressing, Fantasy, Romance",4,completed,7.05,8357,15428
2924,Historie,"Action, Adventure, Award Winning, Historical, Seinen",0,plan_to_read,8.19,464,733
147643,Hoarding in Hell,"Action, Fantasy, Isekai",5,dropped,6.68,14352,4161
1149,Hokuto no Ken,"Action, Drama, Martial Arts, Sci-Fi, Shounen",0,plan_to_read,8.09,622,371
3285,Holyland,"Action, Delinquents, Martial Arts, Psychological, Seinen",7,reading,8.44,193,174
936,Homunculus,"Drama, Horror, Mystery, Psychological, Seinen, Supernatural",7,completed,8.34,277,79
42451,Horimiya,"Romance, School, Shounen",5,completed,8.41,219,16
21467,Hoshi Mamoru Inu,"Pets, Seinen, Slice of Life",0,plan_to_read,8.13,553,965
366,Hoshi no Koe,"Drama, Mecha, Romance, Sci-Fi, Seinen",5,completed,7.8,1347,805
44489,Houseki no Kuni,"Action, Anthropomorphic, Drama, Fantasy, Seinen",0,plan_to_read,8.97,15,80
151440,How to Live as a Villain,"Action, Fantasy, Isekai, Psychological, Survival",3,dropped,6.93,10356,3707
147318,How to Use a Returner,"Action, Adventure, Fantasy, Isekai",3,dropped,7.63,2188,1499
26,Hunter x Hunter,"Action, Adventure, Fantasy, Shounen",8,reading,8.76,49,22
14440,I Am a Hero,"Award Winning, Drama, Gore, Horror, Psychological, Seinen",0,plan_to_read,7.64,2107,134
153199,I Only Want to Beat You,"Comedy, Love Status Quo, Romance, School",6,completed,7.74,1606,6952
147822,I Stan the Prince,"Comedy, Fantasy, Romance",4,dropped,7.54,2781,4714
147392,I'm the Max-Level Newbie,"Action, Fantasy",4,dropped,7.7,1797,559
33031,Imawa no Kuni no Alice,"Action, Gore, High Stakes Game, Horror, Psychological, Shounen, Supernatural, Survival",0,plan_to_read,8.38,232,182
171441,"Immortal, Invincible","Action, Fantasy, Martial Arts, Reincarnation",4,dropped,,34586,34778
114824,In the Room,"Drama, Horror, Seinen, Supernatural",4,completed,4.66,20836,9813
58563,Innocent,"Drama, Historical, Seinen",0,plan_to_read,8.18,473,266
93699,Innocent Rouge,"Award Winning, Drama, Historical, Seinen",0,plan_to_read,8.39,229,574
64465,Inuyashiki,"Drama, Gore, Sci-Fi, Seinen",7,completed,7.59,2431,273
90190,"Isekai Izakaya ""Nobu""","Adult Cast, Fantasy, Gourmet, Isekai, Iyashikei, Seinen, Workplace",6,on_hold,7.64,2143,2870
110621,Isekai Omotenashi Gohan,"Fantasy, Gourmet, Isekai, Slice of Life",4,completed,7.25,5602,4301
102671,Isekai Shokudou,"Comedy, Fantasy, Gourmet, Iyashikei, Mystery, Seinen, Workplace",6,completed,7.59,2428,4601
44743,Itou Junji Kyoufu Manga Collection: Nikuiro no Kai,"Drama, Horror, Psychological, Seinen, Supernatural, Suspense",6,completed,7.54,2751,1601
104314,Jagaaaaaan,"Drama, Gore, Horror, Mystery, Seinen, Supernatural",5,dropped,7.43,3659,175
21665,Jigoku no Alice,"Action, Sci-Fi, Seinen",0,plan_to_read,7.23,5855,2986
112318,Jigokuraku,"Action, Fantasy, Historical, Shounen",5,dropped,8.22,421,60
106025,Jinmen,"Gore, Horror",0,plan_to_read,6.13,19728,1869
131703,Jinrui wo Metsubou sasete wa Ikemasen,"Childcare, Sci-Fi, Seinen, Slice of Life",6,completed,7.92,965,4650
3006,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Action, Shounen, Supernatural",0,plan_to_read,8.57,111,135
3008,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Action, Adventure, Organized Crime, Shounen",0,plan_to_read,8.18,477,124
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Action, Adventure, Historical, Mystery, Seinen, Shounen, Supernatural",9,completed,9.32,2,23
25515,JoJo no Kimyou na Bouken Part 8: JoJolion,"Action, Adventure, Award Winning, Mystery, Seinen, Supernatural",8,completed,8.47,173,75
139629,JoJo no Kimyou na Bouken Part 9: The JoJoLands,"Action, Adventure, Seinen, Supernatural",0,plan_to_read,8.32,290,391
149983,Judge and Executioner,"Action, Drama, Psychological",6,completed,6.76,13060,14011
113138,Jujutsu Kaisen,"Action, School, Shounen, Supernatural",7,on_hold,8.24,386,10
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","Drama, Shounen",6,completed,8.77,47,57
147053,Jungle Juice,"Action, Fantasy",5,dropped,7.69,1864,1498
125076,Juujika no Rokunin,"Gore, Mystery, Psychological, Shounen, Suspense",1,on_hold,6.91,10642,204
171811,Juvenile Detention Center,"Action, Drama",5,reading,6.71,13835,17269
122353,Kaette Kudasai! Akutsu-san,"Comedy, Love Status Quo, Romance",5,on_hold,7.35,4400,350
119022,Kage no Jitsuryokusha ni Naritakute!,"Action, Comedy, Fantasy, Isekai, Reincarnation",4,dropped,8.25,380,203
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Award Winning, Comedy, Romance, School, Seinen",7,completed,8.89,23,25
127907,Kaijuu 8-gou,"Action, Adult Cast, Fantasy, Sci-Fi, Shounen, Urban Fantasy",6,dropped,7.73,1657,63
108948,Kaitai Zanuff,"Horror, Psychological, Seinen",4,completed,7.2,6190,4851
128784,Kami ni Aisareta Ko,"Fantasy, Slice of Life",2,dropped,6.21,19350,15322
24808,Kami no Kodomo,"Horror, Psychological",3,completed,6.62,15254,1289
111228,Kami-tachi ni Hirowareta Otoko,"Adventure, Fantasy, Isekai, Iyashikei, Reincarnation",0,plan_to_read,7.29,5030,1331
50217,Kamisama ga Uso wo Tsuku.,"Drama, Romance, School, Seinen",7,completed,7.86,1123,287
90800,Kanojo wa Rokurokubi,"Comedy, School, Shounen, Supernatural",5,completed,7.17,6662,1492
144267,Kaoru Hana wa Rin to Saku,"Drama, Romance, School",8,reading,8.82,36,144
55377,Kasane,"Drama, Performing Arts, Psychological, Seinen, Supernatural",0,plan_to_read,7.83,1239,549
119687,Katabami to Ougon,"Drama, Historical, Seinen",0,plan_to_read,7.48,3144,10298
18161,Katanagatari,"Action, Adventure, Comedy, Romance, Samurai",0,plan_to_read,8.27,361,2606
47,Katekyou Hitman Reborn!,"Action, Comedy, Organized Crime, School, Shounen, Super Power",0,plan_to_read,8.1,597,106
118196,Kawaii dake ja Nai Shikimori-san,"Comedy, Romance",3,dropped,7.52,2868,241
651,Kaze no Tani no Nausicaä,"Action, Adventure, Award Winning, Fantasy",0,plan_to_read,8.81,39,268
72025,Kengan Ashura,"Action, Martial Arts",6,completed,8.26,366,278
146979,Kill the Hero,"Action, Adventure, Fantasy, Time Travel",1,dropped,7.22,5991,1608
96792,Kimetsu no Yaiba,"Action, Fantasy, Historical, Shounen",6,completed,8.13,559,9
99314,Kimi no Na wa.,"Drama, Seinen",6,completed,8.39,230,168
104538,Kimi no Suizou wo Tabetai,"Drama, Romance",8,completed,8.49,155,376
121213,Kimi wa Houkago Insomnia,"Romance, School, Seinen",8,completed,8.4,225,324
16765,Kingdom,"Action, Award Winning, Historical, Military, Seinen",9,reading,9.01,13,50
131342,Kizoku Tensei: Megumareta Umare kara Saikyou no Chikara wo Eru,"Action, Adventure, Fantasy, Reincarnation",3,dropped,6.66,14635,4536
80119,Kobayashi-san Chi no Maid Dragon,"Fantasy, Slice of Life",1,dropped,7.89,1047,402
56805,Koe no Katachi,"Award Winning, Drama, Shounen",8,completed,8.85,30,26
7375,Kokou no Hito,"Award Winning, Drama, Psychological, Seinen, Sports",10,completed,8.81,40,103
99007,"Komi-san wa, Comyushou desu.","Award Winning, Comedy, School, Shounen",4,dropped,8.04,703,29
116772,Kono Yuusha ga Ore Tueee Kuse ni Shinchou sugiru,"Action, Adventure, Comedy, Fantasy, Isekai, Shounen",4,dropped,7.13,7270,2716
153492,Koroshiya no Oshi,"Action, Comedy, Seinen",5,dropped,7.59,2410,8027
138703,Kotoshi no Mitsuishi-san wa Dokoka Okashii,"Comedy, Romance, School",3,dropped,7.2,6220,2645
42579,Kubera,"Action, Adventure, Comedy, Fantasy, Romance",3,dropped,8.03,712,1432
128093,Kuchi ga Saketemo Kimi ni wa,"Fantasy, Romance, Shounen",5,completed,7.7,1778,501
144453,Kuchibeta Shokudou,"Comedy, Slice of Life",5,on_hold,7.04,8527,14099
121615,Kumichou Musume to Sewagakari,"Childcare, Organized Crime, Slice of Life",5,reading,7.71,1727,2496
95012,"Kumo desu ga, Nani ka?","Action, Adventure, Comedy, Fantasy, Isekai, Reincarnation",6,completed,8.36,255,662
136979,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,"Comedy, Love Status Quo, Romance, School, Shounen",3,dropped,7.17,6581,488
3866,Kuroshitsuji,"Action, Fantasy, Historical, Mystery, Mythology, Shounen, Supernatural",0,plan_to_read,8.41,218,71
96050,"Kuzumi-kun, Kuuki Yometemasu ka?","Comedy, Romance, School, Shounen",4,completed,7.55,2652,489
117549,Kyuujitsu no Warumono-san,"Fantasy, Iyashikei, Slice of Life, Urban Fantasy",5,on_hold,7.69,1818,1766
156825,Last on Earth,"Action, Adventure, Fantasy",3,dropped,6.91,10590,4860
146982,Latna Saga: Survival of a Sword King,"Action, Adventure, Fantasy, Isekai",7,on_hold,7.79,1395,1015
150784,Legend of an Asura: The Poison Dragon,"Action, Fantasy, Martial Arts",6,on_hold,7.25,5549,2899
171243,Level 0 no Munou Tansakusha to Sagesumaretemo Jitsu wa Sekai Saikyou desu: Tansaku Ranking 1-i wa Nazo no Hito,"Action, Adventure, Fantasy, Harem",2,dropped,6.23,19232,15761
148009,Level Up with the Gods,"Action, Adventure, Fantasy, Time Travel",5,dropped,7.71,1757,1055
147460,Leveling Beyond the Max,"Action, Fantasy, Isekai, Martial Arts",3,dropped,6.54,16353,3298
148137,Leviathan,"Action, Fantasy, Survival",6,dropped,8.29,333,1174
147981,Little Rabbit and the Big Bad Leopard,"Anthropomorphic, Fantasy, Romance",5,completed,7.75,1537,3790
